go .	va !
i made it on time .	je l ai fait a temps .
i made it on time .	j y suis arrive a temps .
i must go to work .	je dois aller au travail .
i must go to work .	je dois aller travailler .
i need tom s help .	j ai besoin de l aide de tom .
i need this money .	j ai besoin de cet argent .
i need to do that .	je dois faire ca .
i need to do that .	j ai besoin de faire ca .
i need to go home .	je dois aller chez moi .
i need to go home .	il me faut aller a la maison .
i never went back .	je n y suis jamais retourne .
i never went back .	je n y suis jamais retournee .
i really did that .	j ai vraiment fait ca .
i really like him !	je l apprecie beaucoup !
i really like him .	je l apprecie vraiment .
i really like you .	je t aime vraiment .
i really like you .	je t aime vraiment bien .
i really like you .	tu me plais vraiment .
i really love you .	je vous aime vraiment .
i really love you .	je t aime vraiment .
i should go there .	je devrais y aller .
i think i m ready .	je pense etre pret .
i think i m right .	je crois etre dans le vrai .
i think i m right .	je crois que j ai raison .
i think i m right .	je pense avoir raison .
i think i m right .	je pense que j ai raison .
i think he did it .	je pense qu il l a fait .
i want to do this .	je veux faire ca .
i want to do this .	je veux faire ceci .
i want to do well .	je veux faire bien .
i want to see him .	je veux le voir .
i want to see you .	je veux te voir .
i was going to go .	j etais sur le point de partir .
i was going to go .	j allais partir .
i was happy there .	j y etais heureux .
i was happy there .	j y etais heureuse .
i went home alone .	je suis alle seul a la maison .
i d love to do it .	j adorerais le faire .
i ll give it back .	je le rendrai .
i ll give it back .	je la rendrai .
i ll tell you why .	je te dirai pourquoi .
i ll tell you why .	je vous dirai pourquoi .
i m going to work .	je vais travailler .
i m happy for you .	je suis heureux pour toi .
i m happy to help .	je suis heureux d aider .
i m happy with it .	j en suis heureux .
i m happy with it .	je m en contente .
i m not like that .	je ne suis pas comme ca .
is one of you tom ?	tom est il l un d entre vous ?
is this tom s car ?	c est la voiture de tom ?
is this all right ?	est ce en ordre ?
it didn t go well .	ca ne s est pas bien passe .
look i know that .	ecoute je le sais .
may i do that now ?	puis je faire cela maintenant ?
may i go home now ?	puis je rentrer a la maison maintenant ?
may i go with you ?	est ce que je peux vous accompagner ?
no i didn t help .	non je n ai pas aide .
she can t do that .	elle n arrive pas a faire ca .
she can t do that .	elle n arrive pas a le faire .
she can t do that .	elle n y arrive pas .
she can t stop me .	elle ne peut pas m arreter .
she did come here .	elle est bien venue ici .
she must go there .	elle doit y aller .
she must go there .	elle doit s y rendre .
she went with him .	elle est allee avec lui .
should i tell him ?	devrais je lui dire ?
so where were you ?	ou etais tu donc ?
stop it right now !	arrete immediatement !
stop it right now !	arretez immediatement !
stop the car here .	arrete la voiture ici !
that should do it .	ca devrait le faire .
that s all i have .	c est tout ce que j ai .
that s how it was .	c est ainsi que c etait .
that s how it was .	c est ainsi qu il en allait .
that s what i did .	c est ce que j ai fait .
that s what i got .	c est ce que j ai eu .
that s what i got .	c est ce que j ai recu .
that s what i got .	c est ce que j ai obtenu .
they can t see me .	ils ne peuvent me voir .
they can t see me .	ils ne peuvent pas me voir .
they can t see me .	elles ne peuvent me voir .
they can t see me .	elles ne peuvent pas me voir .
they look like us .	ils nous ressemblent .
they ll like that .	ils aimeront cela .
they ll like that .	ils vont aimer cela .
they re not alone .	ils ne sont pas seuls .
they re not alone .	elles ne sont pas seules .
they re not happy .	ils ne sont pas satisfaits .
they re not happy .	elles ne sont pas satisfaites .
they re now alone .	ils sont maintenant seuls .
they re now alone .	elles sont maintenant seules .
they re very busy .	ils sont tres occupes .
they re very busy .	elles sont tres occupees .
this is tom s car .	c est la voiture de tom .
this is how it is .	c est ainsi .
this one is on me .	celui ci est pour moi .
this one is on me .	celle ci est pour moi .
tom can t come in .	tom ne peut pas entrer .
tom can t do that .	tom ne peut pas faire ca .
tom didn t see it .	tom ne l a pas vu .
tom didn t see it .	tom ne l a pas vue .
tom didn t see it .	tom ne le vit pas .
tom didn t see it .	tom ne la vit pas .
tom is home alone .	tom est seul chez lui .
tom isn t at home .	tom n est pas a la maison .
tom isn t like me .	tom n est pas comme moi .
tom isn t like us .	tom n est pas comme nous .
tom will be there .	tom sera la .
tom won t give in .	thomas ne cedera pas .
was he home alone ?	etait il tout seul a la maison ?
we can work on it .	nous pouvons y travailler .
we can t go there .	nous ne pouvons pas y aller .
we can t go there .	nous ne pouvons pas aller la bas .
we can t go there .	on ne peut pas y aller .
we can t go there .	on ne peut pas aller la bas .
we can t help tom .	nous ne pouvons pas aider tom .
we didn t see you .	nous ne vous avons pas vu .
we don t know her .	nous ne la connaissons pas .
we don t need him .	nous n avons pas besoin de lui .
we don t need you .	nous n avons pas besoin de toi .
we don t need you .	nous n avons pas besoin de vous .
we need help here .	on a besoin d aide ici .
we need the money .	il nous faut l argent .
we should do this .	nous devrions faire ceci .
we should do this .	on devrait faire ca .
we should go home .	nous devrions rentrer .
we should go home .	nous devrions rentrer chez nous .
we were all alone .	nous etions toutes seules .
we were all alone .	nous etions tout seuls .
we were all happy .	nous etions tous heureux .
we were all happy .	nous etions toutes heureuses .
we re going to go .	on va y aller .
we re out of time .	on n a plus le temps .
we re ready to go .	nous sommes pretes a partir .
we re ready to go .	nous sommes prets a y aller .
we re ready to go .	nous sommes pretes a y aller .
we re really good .	nous sommes vraiment bons .
we re really good .	nous sommes vraiment bonnes .
what did tom want ?	que voulait tom ?
what do they need ?	de quoi ont ils besoin ?
what do we do now ?	que faisons nous maintenant ?
what do we do now ?	que faisons nous desormais ?
what do you think ?	qu en penses tu ?
what do you think ?	qu en penser ?
what is it you do ?	que fais tu ?
what is it you do ?	que faites vous ?
what is it you do ?	c est quoi ce que tu fais ?
what is it you do ?	c est quoi ce que vous faites ?
what was he up to ?	quelle etait son intention ?
what was she like ?	comment etait elle ?
where are you now ?	ou etes vous maintenant ?
where can they be ?	ou peuvent ils etre ?
where can they be ?	ou peuvent elles etre ?
where could he be ?	ou pourrait il se trouver ?
where did they go ?	ou sont ils passes ?
where did they go ?	ou sont ils alles ?
where did they go ?	ou sont ils partis ?
where will we eat ?	ou allons nous manger ?
where will you be ?	ou seras tu ?
where will you be ?	ou serez vous ?
where will you go ?	ou irez vous ?
where s the money ?	ou est l argent ?
why are they here ?	pourquoi sont ils ici ?
why are they here ?	pourquoi sont elles ici ?
why did i do that ?	pourquoi ai je fait cela ?
why did i do this ?	pourquoi ai je fait ca ?
why did i do this ?	pourquoi l ai je fait ?
why did you do it ?	pourquoi l as tu fait ?
why did you do it ?	pourquoi l avez vous fait ?
why didn t tom go ?	pourquoi tom n est il pas parti ?
why must we do it ?	pourquoi devons nous le faire ?
why not try it on ?	pourquoi ne pas l essayer ?
will tom be ready ?	tom sera t il pret ?
will you be going ?	irez vous ?
will you be going ?	iras tu ?
will you go there ?	t y rendras tu ?
you can come home .	tu peux venir a la maison .
you can come home .	vous pouvez venir a la maison .
you can t come in .	vous ne pouvez pas entrer .
you can t come in .	tu ne peux pas entrer .
you can t do that .	tu ne peux pas faire ca .
you can t give up .	tu ne peux pas arreter .
you can t give up .	vous ne pouvez pas arreter .
you can t give up .	tu ne peux pas admettre ta defaite .
you can t give up .	vous ne pouvez pas admettre votre defaite .
you can t just go .	tu ne peux pas simplement t en aller comme ca .
you can t just go .	vous ne pouvez pas simplement vous en aller comme ca .
you could help me .	tu pourrais m aider .
you did well tom .	tu as bien fait tom .
you did well tom .	vous avez bien fait tom .
you have to leave .	tu dois partir .
you have to leave .	vous devez partir .
you may go in now .	tu peux entrer maintenant .
you may go in now .	vous pouvez entrer maintenant .
you may need this .	tu pourrais avoir besoin de ceci .
you must help her .	vous devez l aider .
you must stop him .	vous devez l arreter .
you must stop him .	tu dois l arreter .
you must stop him .	tu dois le retenir .
you need to leave .	il faut que tu t en ailles .
you should go now .	vous devriez y aller maintenant .
you should go now .	tu devrais y aller maintenant .
you should go now .	vous devriez partir maintenant .
you should go now .	tu devrais partir maintenant .
you should try it .	tu devrais essayer .
you won t need it .	tu n en auras pas besoin .
you won t need it .	vous n en aurez pas besoin .
you won t need me .	tu n auras pas besoin de moi .
you won t need me .	vous n aurez pas besoin de moi .
you re right tom .	vous avez raison tom .
all of us like her .	nous l aimons tous .
are we ready to go ?	sommes nous prets a partir ?
are we ready to go ?	sommes nous pretes a partir ?
are we ready to go ?	sommes nous prets a y aller ?
are we ready to go ?	sommes nous pretes a y aller ?
are you happy here ?	es tu heureux ici ?
are you happy here ?	es tu heureuse ici ?
are you happy here ?	etes vous heureux ici ?
are you happy here ?	etes vous heureuse ici ?
are you happy here ?	etes vous heureuses ici ?
are you here alone ?	es tu seul ici ?
are you here alone ?	etes vous seul ici ?
are you here alone ?	etes vous seule ici ?
are you here alone ?	etes vous seuls ici ?
are you here alone ?	etes vous seules ici ?
are you here alone ?	es tu seule ici ?
can i go there now ?	est ce que je pourrais y aller maintenant ?
can i see that one ?	puis je voir celui ci ?
can i see this one ?	puis je voir celui ci ?
can i see this one ?	puis je voir celle ci ?
can you look at me ?	est ce que tu peux me regarder ?
can you look at me ?	pouvez vous me regarder ?
did i get it right ?	est ce que j ai bien compris ?
did i get it right ?	ai je bien capte ?
did i just do that ?	est ce que je viens de faire ca ?
do i have it right ?	suis je dans le vrai ?
do they have money ?	ont ils de l argent ?
do they have money ?	ont elles de l argent ?
do you like it all ?	apprecies tu tout ca ?
do you like my car ?	est ce que ma voiture vous plait ?
do you want to eat ?	voulez vous manger ?
do you want to eat ?	veux tu manger ?
do you want to eat ?	est ce que tu veux manger ?
do you want to eat ?	est ce que vous voulez manger ?
don t do it for me .	ne le fais pas pour moi .
don t give me that !	ne me donne pas ca !
don t you know how ?	ne savez vous pas comment ?
don t you know how ?	ne sais tu pas comment ?
don t you think so ?	ne le penses tu pas ?
get in the car now .	monte dans la voiture maintenant !
get in the car now .	grimpe dans la voiture maintenant !
get in the car now .	montez dans la voiture maintenant !
get in the car now .	grimpez dans la voiture maintenant !
get it out of here .	sortez le d ici !
get it out of here .	sors le d ici !
get me out of here .	emmene moi ailleurs .
get me out of here .	sortez moi de la !
get me out of here .	sors moi de la !
get us out of here .	sors nous de la .
get us out of here .	sortez nous d ici .
give it back to me .	rends le moi !
give it back to me .	rendez le moi !
give me your money !	donne moi ton argent !
give me your money !	donnez moi votre argent !
he was alone there .	il etait seul la bas .
he went out to eat .	il sortit manger .
he went out to eat .	il est sorti manger .
he s not all there .	il n est pas tout a fait la .
he s not one of us .	il n est pas des notres .
he s still at work .	il est encore au travail .
here look at this .	voila regarde ca !
here look at this .	voila regardez ceci !
how can i help you ?	en quoi puis je vous servir ?
how can we do that ?	comment pouvons nous faire cela ?
how could you know ?	comment pourrais tu savoir ?
how could you know ?	comment pouvais tu savoir ?
how could you know ?	comment pourriez vous savoir ?
how could you know ?	comment pouviez vous savoir ?
how did i get here ?	comment suis je parvenu ici ?
how did i get here ?	comment suis je parvenue ici ?
how did he do this ?	comment l a t il fait ?
how did we do that ?	comment avons nous fait cela ?
how did you get in ?	comment etes vous entre ?
how did you get in ?	comment es tu entre ?
how do we stop tom ?	comment arretons nous tom ?
how do you do that ?	comment fais tu cela ?
how do you do that ?	comment faites vous ?
how do you do this ?	comment le fais tu ?
how do you do this ?	comment le faites vous ?
how do you do this ?	comment fais tu ceci ?
how do you do this ?	comment faites vous ceci ?
i can help you out .	je peux te donner un coup de main .
i can help you out .	je peux vous donner un coup de main .
i can see that now .	je m en rends compte a l heure actuelle .
i can t give it up .	je ne peux pas y renoncer .
i can t give it up .	je ne peux pas l abandonner .
i could be of help .	je pourrais etre utile .
i did all the work .	j ai fait tout le travail .
i did it like this .	je l ai fait ainsi .
i did it like this .	je l ai fait comme ceci .
i did this for you .	je l ai fait pour toi .
i did this for you .	je l ai fait pour vous .
i did what i could .	j ai fait ce que je pouvais .
i didn t feel well .	je ne me sentais pas bien .
i didn t know that .	je ne savais pas .
i didn t know that .	je l ignorais .
i didn t know that .	je ne le savais pas .
i didn t want that .	je ne voulais pas ca .
i don t want to go .	je ne veux pas partir .
i don t want to go .	je ne veux pas y aller .
i have to be there .	je dois y etre .
i have to know now .	je dois savoir maintenant .
i have to know why .	je dois savoir pourquoi .
i know what i like .	je sais ce que j aime .
i know what i d do .	je sais ce que je ferais .
i know what to say .	je sais quoi dire .
i know you have it .	je sais que tu l as .
i know you love me .	je sais que tu m aimes .
i know you love me .	je sais que vous m aimez .
i like to think so .	j aime le penser .
i need to be alone .	j ai besoin d etre seul .
i need to be alone .	j ai besoin de me trouver seul .
i need to go there .	j ai besoin d y aller .
i need to know now .	j ai besoin de savoir maintenant .
i really like that .	ca me plait beaucoup .
i really need this .	j en ai vraiment besoin .
i really should go .	je devrais vraiment y aller .
i still don t know .	je ne sais toujours pas .
i still don t know .	j ignore encore .
i still want to go .	je veux toujours y aller .
i think i did well .	je pense avoir bien fait .
i think i did well .	je pense avoir reussi .
i think i did well .	je pense m en etre bien sorti .
i think i did well .	je pense m en etre bien sortie .
i think i know you .	je pense que je vous connais .
i think tom did it .	je pense que c est tom le responsable .
i think he ll come .	je pense qu il viendra .
i think he s happy .	je crois qu il est heureux .
i think he s right .	je pense qu il a raison .
i think he s right .	je crois qu il a raison .
i think that s tom .	je pense que c est tom .
i think you did it .	je pense que tu l as fait .
i think you did it .	je pense que vous l avez fait .
i think you did it .	je pense que c est vous qui l avez fait .
i think you did it .	je pense que c est toi qui l a fait .
i want to eat this .	je veux manger ca .
i want to go there .	je veux y aller .
i want to know now .	je veux le savoir maintenant .
i want to know why .	je veux savoir pourquoi .
i want to see this .	je veux voir ceci .
i want to tell you .	je veux vous le dire .
i want to tell you .	je veux te le dire .
i want you to help .	je veux que vous aidiez .
i want you to help .	je veux que tu aides .
i want you to stop .	je veux que tu arretes .
i ll be right back .	je serai vite de retour .
i ll be right back .	je reviens de suite .
i ll be right back .	je reviens immediatement .
i ll come with you .	je viendrai avec toi .
i ll come with you .	je viendrai avec vous .
i ll come with you .	je me joindrai a toi .
i ll come with you .	je me joindrai a vous .
i ll give it a try .	je ferai un essai .
i ll give it a try .	je l essayerai .
i ll give it a try .	j en ferai l essai .
i ll go get my car .	je vais chercher ma voiture .
i ll never give up .	je n abandonnerai jamais .
i ll see you there .	je t y verrai .
i ll see you there .	je vous y verrai .
i ll tell him that .	je lui dirai ca .
i ll tell him that .	je le lui dirai .
i m going home now .	je vais a la maison maintenant .
i m going with tom .	je vais avec tom .
i m happy to do it .	je suis heureux de le faire .
i m happy to do it .	je suis heureuse de le faire .
i m not good at it .	je ne suis pas bon a ca .
i m not happy here .	je ne suis pas heureux ici .
i m ready now tom .	je suis maintenant pret tom .
is tom at home now ?	est ce que tom est chez lui maintenant ?
is that really you ?	est ce vraiment toi ?
is this your money ?	est ce ton argent ?
is this your money ?	est ce votre argent ?
it didn t work out .	ca n a pas marche .
it didn t work out .	ca n a pas reussi .
it ll be all right .	ca va aller .
it s got to be now .	il faut que ce soit maintenant .
it s him isn t it ?	c est lui n est ce pas ?
it s not just that .	ce n est pas que ca .
it s not like that .	ce n est pas ainsi .
it s time to leave .	il est temps de partir .
it s time to leave .	il est temps de s en aller .
just do what i did .	fais juste ce que j ai fait !
just do what i did .	faites juste ce que j ai fait !
just do what i say .	fais juste ce que je dis !
just do what i say .	faites juste ce que je dis !
leave it all to me .	laisse moi faire .
leave me alone now .	laisse moi tranquille maintenant .
leave me alone now .	laissez moi tranquille maintenant .
no one can do that .	personne ne peut faire ca .
no one can do that .	personne n arrive a faire ca .
no one can do that .	personne ne parvient a faire ca .
no one can stop me .	personne ne peut m arreter .
no one was at home .	il n y avait personne a la maison .
now s not the time .	ce n est actuellement pas le moment .
she is going on .	elle va sur ses ans .
she made him do it .	elle le lui a fait faire .
she made him happy .	elle le rendit heureux .
she made him happy .	elle l a rendu heureux .
should we help tom ?	devrions nous aider tom ?
so what s going on ?	donc que se passe t il ?
so do you like it ?	donc tu l aimes ?
so do you like it ?	donc vous l aimez ?
so do you like it ?	alors vous l aimez ?
so do you like it ?	alors tu l aimes ?
stop where you are .	arrete toi ou tu es .
stop where you are .	arretez vous ou vous etes .
tell me what to do .	dis moi quoi faire .
that is good to me .	c est bon pour moi .
that is good to me .	ca m est benefique .
that s all tom did .	c est tout ce que tom a fait .
that s all tom did .	c est tout ce que tom fit .
that s all for now .	c est tout pour l instant .
that s all we know .	c est tout ce que nous savons .
that s all we want .	c est tout ce que nous voulons .
that s all you get .	c est tout ce que tu obtiens .
that s all you get .	c est tout ce qu on obtient .
that s all you get .	c est tout ce que vous obtenez .
that s why tom won .	c est pourquoi tom a gagne .
that s why tom won .	c est pour ca que tom a gagne .
they all have come .	ils sont tous arrives .
they can t do that .	ils n arrivent pas a faire ca .
they can t do that .	ils n arrivent pas a le faire .
they can t do that .	ils n y arrivent pas .
they can t do that .	elles n y arrivent pas .
they can t do that .	elles n arrivent pas a le faire .
they can t do that .	elles n arrivent pas a faire ca .
they can t do this .	ils ne peuvent faire cela .
they can t do this .	elles ne peuvent faire cela .
they can t get out .	elles ne peuvent sortir .
they can t get out .	ils ne peuvent sortir .
they don t know us .	ils ne nous connaissent pas .
they don t know us .	elles ne nous connaissent pas .
they have no money .	elles n ont pas d argent .
they made him work .	ils l ont fait travailler .
they made him work .	ils le firent travailler .
they made him work .	elles le firent travailler .
they made me do it .	elles me l ont fait faire .
they made me do it .	ils me l ont fait faire .
they must be happy .	ils sont heureux sans aucun doute .
they were all busy .	ils etaient tous occupes .
they were all busy .	elles etaient toutes occupees .
they won t help us .	ils ne nous aideront pas .
they won t help us .	ils ne vont pas nous aider .
they ll never know .	ils ne sauront jamais .
this is how i feel .	c est ce que je ressens .
this is not for me .	ce n est pas pour moi .
this won t help us .	ca ne nous sera d aucun secours .
tom could help you .	tom pourrait t aider .
tom could help you .	tom pourrait vous aider .
tom didn t give up .	tom n a pas abandonne .
tom didn t help me .	tom ne m a pas aide .
tom didn t help me .	tom ne m a pas aidee .
tom didn t see you .	tom ne t a pas vu .
tom is here right ?	tom est la non ?
tom is here right ?	tom est ici non ?
tom is here right ?	tom est ici pas vrai ?
tom is here right ?	tom est la pas vrai ?
tom is never alone .	tom n est jamais seul .
tom is really good .	tom est tres bon .
tom is right there .	tom est juste la .
tom isn t like you .	tom n est pas comme toi .
tom isn t like you .	tom ne te ressemble pas .
tom must do it now .	tom doit le faire maintenant .
tom won t go alone .	tom n ira pas seul .
tom where are you ?	tom ou es tu ?
we can do that now .	on peut le faire maintenant .
we can t do it now .	nous ne pouvons pas le faire maintenant .
we do not know her .	nous ne la connaissons pas .
we don t have that .	nous n avons pas cela .
we don t have that .	on n a pas ca .
we have to do this .	nous devons faire ceci .
we have work to do .	nous avons du travail a faire .
we love what we do .	nous aimons ce que nous faisons .
we need to do this .	nous devons faire ca .
we need to do this .	nous avons besoin de faire ceci .
we should try that .	on devrait essayer ca .
we should try that .	nous devrions essayer cela .
we were just going .	nous etions justement sur le point d y aller .
we ll all be there .	nous serons tous la .
we ll all be there .	nous serons toutes la .
we ll all be there .	nous y serons tous .
we ll all be there .	nous y serons toutes .
we re going to try .	nous allons essayer .
we re here to help .	nous sommes ici pour aider .
we re here to help .	nous sommes la pour aider .
we re out of money .	nous sommes a court d argent .
what are you up to ?	que preparez vous ?
what are you up to ?	a quoi te prepares tu ?
what are you up to ?	a quoi vous preparez vous ?
what are you up to ?	qu est ce que tu mijotes ?
what are you up to ?	qu est ce que vous mijotez ?
what can i get you ?	que puis je aller te chercher ?
what can i get you ?	que puis je aller vous chercher ?
what did i just do ?	qu est ce que je viens de faire ?
what did they want ?	que voulaient ils ?
what did they want ?	que voulaient elles ?
what is it made of ?	de quoi est ce constitue ?
what will you have ?	que choisis tu ?
what ll it be like ?	comment sera ce ?
what ll it be like ?	a quoi cela ressemblera t il ?
what s tom good at ?	en quoi tom est il doue ?
what s it good for ?	a quoi sert il ?
what s not to like ?	qu y a t il a y redire ?
what s not to like ?	que demander de plus ?
what s there to do ?	qu est ce qu il y a a faire ?
what s there to do ?	qu y a t il a faire ?
where are we going ?	ou va t on ?
where did he do it ?	ou l a t il fait ?
where do we go now ?	ou allons nous maintenant ?
where should we go ?	ou devrions nous aller ?
where should we go ?	ou devrions nous nous rendre ?
why can t you come ?	pourquoi ne peux tu venir ?
why can t you come ?	pourquoi ne peux tu pas venir ?
why come to me now ?	pourquoi venir a moi maintenant ?
why didn t it work ?	pourquoi cela n a t il pas fonctionne ?
why do you like it ?	pourquoi l aimes tu ?
why do you need it ?	pourquoi en as tu besoin ?
why do you need it ?	pourquoi en avez vous besoin ?
why don t you help ?	pourquoi n aidez vous pas ?
why don t you help ?	pourquoi n aides tu pas ?
why don t you stop ?	pourquoi n arretes tu pas ?
why were you there ?	pourquoi etais tu la ?
why were you there ?	pourquoi y etiez vous ?
you can t back out .	tu ne peux pas te retirer .
you can t back out .	tu ne peux pas te dedire .
you can t back out .	vous ne pouvez pas vous retirer .
you can t back out .	vous ne pouvez pas vous dedire .
you can t go alone .	tu ne peux pas y aller seul .
you can t go alone .	tu ne peux pas y aller seule .
you can t go alone .	vous ne pouvez pas y aller seul .
you can t go alone .	vous ne pouvez pas y aller seule .
you can t go there .	tu ne peux pas y aller .
you can t leave me .	tu ne peux pas me quitter .
you can t leave me .	vous ne pouvez pas me quitter .
you have to get up .	tu dois te lever .
you have to get up .	vous devez vous lever .
you have to see it .	tu dois la voir .
you have to see it .	tu dois le voir .
you have to see it .	il faut que tu la voies .
you have to see it .	il faut que tu le voies .
you have to see it .	il faut que vous le voyiez .
you have to see it .	il faut que vous la voyiez .
you just need help .	tu as seulement besoin d aide .
you know how it is .	tu sais comment c est .
you know how it is .	vous savez comment c est .
you must all leave .	vous devez tous partir .
you must get going .	il faut que tu y ailles .
you must get going .	il faut que vous y alliez .
you should do that .	tu devrais faire ca .
you should do that .	vous devriez faire ca .
you should go home .	tu devrais rentrer chez toi .
you should go home .	vous devriez rentrer chez vous .
you re not like me .	tu n es pas comme moi .
you re not like me .	vous n etes pas comme moi .
you re out of time .	votre temps est ecoule .
you re out of time .	ton temps est ecoule .
all i want is money .	tout ce que je veux c est de l argent .
all is well with me .	tout va bien pour moi .
all of us are happy .	nous sommes tous contents .
are you ready to go ?	es tu pret a partir ?
are you ready to go ?	etes vous pret a partir ?
are you ready to go ?	etes vous prets a partir ?
are you ready to go ?	etes vous prete a partir ?
are you ready to go ?	etes vous pretes a partir ?
are you ready to go ?	es tu prete a partir ?
are you ready to go ?	es tu pret a y aller ?
are you ready to go ?	es tu prete a y aller ?
are you ready to go ?	etes vous pret a y aller ?
are you ready to go ?	etes vous prete a y aller ?
are you ready to go ?	etes vous prets a y aller ?
are you ready to go ?	etes vous pretes a y aller ?
are you still happy ?	etes vous toujours heureux ?
are you still happy ?	etes vous toujours heureuse ?
are you still happy ?	es tu toujours heureuse ?
are you still there ?	y etes vous encore ?
are you still there ?	y etes vous toujours ?
are you still there ?	y es tu encore ?
are you still there ?	y es tu toujours ?
can we do that here ?	pouvons nous faire ca ici ?
can we just go home ?	pouvons nous juste rentrer chez nous ?
can we just go home ?	pouvons nous juste rentrer a la maison ?
can you tell me how ?	peux tu me dire comment ?
can you tell me how ?	pouvez vous me dire comment ?
come here right now .	viens ici tout de suite .
did i just say that ?	est ce que je viens de dire ca ?
did i tell you that ?	vous ai je dit cela ?
did i tell you that ?	vous ai je conte cela ?
did i tell you that ?	t ai je conte cela ?
did i tell you that ?	t ai je dit cela ?
did you do all this ?	as tu fait tout ceci ?
did you do all this ?	avez vous fait tout ceci ?
did you do all this ?	est ce toi qui as fait tout ca ?
did you do all this ?	est ce vous qui avez fait tout ca ?
did you give him up ?	avez vous perdu espoir pour lui ?
did you give him up ?	as tu perdu espoir pour lui ?
do you want to stop ?	veux tu t arreter ?
do you want to stop ?	voulez vous vous arreter ?
don t do that to me .	ne me fais pas ca .
don t do that to me .	ne me faites pas ca .
don t leave me here .	ne me laisse pas la .
don t leave me here .	ne me laissez pas la .
get tom to help you .	persuade tom de t aider .
get tom to help you .	convaincs tom de t aider .
get tom to help you .	persuadez tom de vous aider .
get tom to help you .	convainquez tom de vous aider .
get out of here now !	sors d ici maintenant !
get out of here now !	sortez d ici maintenant !
get out of this car .	sors de cette voiture .
get out of this car .	sortez de ce vehicule .
get out of this car .	descends de cette voiture .
he can help you out .	il peut vous donner un coup de main .
he can help you out .	il peut te donner un coup de main .
he didn t know that .	il ne le savait pas .
he may not be happy .	il n est peut etre pas heureux .
he should have come .	il aurait du venir .
how did it get here ?	comment cela a t il atterri ici ?
how did you do that ?	comment as tu fait cela ?
how did you do this ?	comment l avez vous fait ?
how did you do this ?	comment l as tu fait ?
how did you like it ?	cela t a t il plu ?
how do we know that ?	comment le savons nous ?
how do you feel now ?	comment vous sentez vous ?
how do you say that ?	comment dis tu cela ?
i can give it a try .	je peux m y essayer .
i can give it a try .	je peux le tenter .
i can t do it alone .	je ne peux le faire seul .
i can t do it alone .	je ne peux le faire seule .
i can t do that now .	je ne peux le faire maintenant .
i can t give up now .	je ne peux pas abandonner maintenant .
i can t go in there .	je ne peux pas y aller .
i can t go in there .	je ne peux pas y penetrer .
i can t go in there .	je ne peux pas m y rendre .
i can t go in there .	je n arrive pas a y penetrer .
i can t go in there .	je ne parviens pas a y penetrer .
i can t go with you .	je ne peux pas y aller avec toi .
i can t go with you .	je ne peux pas m en aller avec toi .
i can t go with you .	je ne peux pas y aller avec vous .
i can t go with you .	je ne peux pas m en aller avec vous .
i can t go with you .	je ne peux pas partir avec toi .
i can t go with you .	je ne peux pas partir avec vous .
i come home at .	je reviens a la maison a h .
i did not know this .	je l ignorais .
i did not know this .	je ne le savais pas .
i did that one time .	je l ai fait une fois .
i didn t have to go .	je ne devais pas y aller .
i didn t have to go .	il ne me fallait pas y aller .
i didn t look at it .	je ne l ai pas regarde .
i didn t look at it .	je ne l ai pas regardee .
i don t have a home .	je n ai pas de chez moi .
i don t know really .	je ne sais vraiment pas .
i don t need it now .	je n en ai pas besoin a l heure actuelle .
i don t really know .	je ne sais pas trop .
i don t really know .	je ne sais pas vraiment .
i don t see why not .	je ne vois pas d obstacle .
i have to leave you .	je dois te quitter .
i just don t get it .	je ne capte simplement pas .
i just don t get it .	je ne pige simplement pas .
i just want to help .	je veux juste etre utile .
i just want to help .	je veux juste me rendre utile .
i know how to do it .	je sais comment le faire .
i know how you feel .	je peux bien comprendre ce que tu ressens .
i know it very well .	je le connais tres bien .
i know we can do it .	je sais que nous pouvons le faire .
i know what i ll do .	je sais ce que je vais faire .
i know what that is .	je sais ce que c est que cela .
i know what this is .	je sais ce que c est .
i know what you did .	je sais ce que tu as fait .
i know what you did .	je sais ce que vous avez fait .
i know what s right .	je sais ce qui est juste .
i know where she is .	je sais ou elle est .
i know where we are .	je sais ou nous sommes .
i know you did that .	je sais que vous l avez fait .
i know you did this .	je sais que vous l avez fait .
i know you love tom .	je sais que tu aimes tom .
i know you love tom .	je sais que vous aimez tom .
i leave that to you .	je laisse cela a tes soins .
i leave that to you .	je laisse cela a vos soins .
i like what you did .	j apprecie ce que vous avez fait .
i like what you did .	j apprecie ce que tu as fait .
i made that for you .	j ai fait ca pour toi .
i made that for you .	j ai fait cela pour vous .
i may not have time .	il se peut que je n aie pas le temps .
i may not have time .	il se peut que je ne dispose pas du temps .
i must be going now .	il faut que j y aille maintenant .
i really don t know .	je ne sais vraiment pas .
i really don t know .	j ignore vraiment .
i really have to go .	il me faut vraiment y aller .
i really have to go .	il me faut vraiment m en aller .
i really need to go .	il me faut vraiment y aller .
i really need to go .	il me faut vraiment m en aller .
i think i can do it .	je pense pouvoir reussir .
i think i m in love .	je pense que je suis amoureux .
i think i m in love .	je pense que je suis amoureuse .
i think he is right .	je pense qu il a raison .
i think you like me .	je pense que vous m appreciez .
i think you like me .	je pense que tu m apprecies .
i want him to leave .	je veux qu il parte .
i want him to leave .	je veux que lui parte .
i want him to leave .	je veux qu il s en aille .
